iter	Passed	Remaining
0	1	138
1	2	119
2	3	111
3	4	103
4	5	101
5	6	98
6	7	97
7	8	94
8	9	94
9	10	93
10	11	92
11	12	91
12	13	88
13	14	86
14	14	83
15	15	81
16	16	79
17	17	78
18	18	76
19	18	75
20	19	73
21	20	72
22	21	70
23	21	69
24	22	68
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	47
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	79	0
